FIPS_Country_Code	FIPS_ADM1_Code	ADM1_Name	ADM1_Name_ND	Language_Code	Region_Code
AA	00	Aruba (general)	Aruba (general)		1
AC	00	Antigua and Barbuda (general)	Antigua and Barbuda (general)		1
AC	01	Barbuda	Barbuda		1
AC	03	Saint George	Saint George		1
AC	04	Saint John	Saint John		1
AC	05	Saint Mary	Saint Mary		1
AC	06	Saint Paul	Saint Paul		1
AC	07	Saint Peter	Saint Peter		1
AC	08	Saint Philip	Saint Philip		1
AE	00	United Arab Emirates (general)	United Arab Emirates (general)		3
AE	01	Abū Z̧aby	Abu Zaby		3
AE	02	‘Ajmān	`Ajman		3
AE	03	Dubayy	Dubayy		3
AE	04	Al Fujayrah	Al Fujayrah		3
AE	05	Raʼs al Khaymah	Raʼs al Khaymah		3
AE	06	Ash Shāriqah	Ash Shariqah		3
AE	07	Umm al Qaywayn	Umm al Qaywayn		3
AF	00	Afghanistan (general)	Afghanistan (general)		4
AF	01	Badakhshān	Badakhshan		4
AF	02	Bādghīs	Badghis		4
AF	03	Baghlān	Baghlan		4
AF	05	Bāmīān	Bamian		4
AF	06	Farāh	Farah		4
AF	07	Fāryāb	Faryab		4
AF	08	Ghaznī	Ghazni		4
AF	09	Ghowr	Ghowr		4
AF	10	Helmand	Helmand		4
AF	11	Herāt	Herat		4
AF	13	Kābol	Kabol		4
AF	14	Kāpīsā	Kapisa		4
AF	15	(AF15)	(AF15)		4
AF	16	(AF16)	(AF16)		4
AF	17	Lowgar	Lowgar		4
AF	18	Nangarhār	Nangarhar		4
AF	19	Nīmrūz	Nimruz		4
AF	20	Orūzgān	Oruzgan		4
AF	21	(AF21)	(AF21)		4
AF	22	Parvān	Parvan		4
AF	23	Kandahār	Kandahar		4
AF	24	Kondoz	Kondoz		4
AF	26	Takhār	Takhar		4
AF	27	Vardak	Vardak		4
AF	28	Zābol	Zabol		4
AF	29	Paktīkā	Paktika		4
AF	30	Balkh	Balkh		4
AF	31	Jowzjān	Jowzjan		4
AF	32	Samangān	Samangan		4
AF	33	Sar-e Pol	Sar-e Pol		4
AF	34	Konar	Konar		4
AF	35	Laghmān	Laghman		4
AF	36	Paktīā	Paktia		4
AF	37	Khowst	Khowst		4
AF	38	Nūrestān	Nurestan		4
AG	00	Algeria (general)	Algeria (general)		1
AG	01	Alger	Alger		1
AG	03	Batna	Batna		1
AG	04	Constantine	Constantine		1
AG	06	Médéa	Medea		1
AG	07	Mostaganem	Mostaganem		1
AG	09	Oran	Oran		1
AG	10	Saïda	Saida		1
AG	12	Sétif	Setif		1
AG	13	Tiaret	Tiaret		1
AG	14	Tizi Ouzou	Tizi Ouzou		1
AG	15	Tlemcen	Tlemcen		1
AG	18	Bejaïa	Bejaia		1
AG	19	Biskra	Biskra		1
AG	20	Blida	Blida		1
AG	21	Bouira	Bouira		1
AG	22	Djelfa	Djelfa		1
AG	23	Guelma	Guelma		1
AG	24	Jijel	Jijel		1
AG	25	Laghouat	Laghouat		1
